identifier,logFC,logCPM,p-Value,FDR
FAM138F,3.055463759,-0.513113847,0.004,0.209322496
FAM138A,3.055463093,-0.513113847,0.004,0.209322496
GYPE,3.020133452,-2.424903623,0.002,0.189521674
DDX4,3.017707651,-2.103352472,0.009,0.253219777
IL5RA,3.006163394,-1.707391453,0.005,0.217960803
TNFRSF9,2.997737504,-1.359973772,0.005,0.219690747
LINC00368,2.997069763,-1.888320168,0.003,0.2032697
LGSN,2.995768916,-0.76610387,0.002,0.191234855
NEK5,2.994066626,-2.10899806,0.007,0.228342038
LOC105374177,2.98156001,-2.582247246,0.006,0.222134806
GLB1L3,2.974932893,-2.352169335,0.005,0.211864668
LOC105379511,2.954325354,-3.621369257,0.01,0.253657854
MT1A,2.901759721,1.596822563,0.004,0.209322496
FAM138E,2.886807477,-2.053142006,0.008,0.241849126
TEKT3,2.862558285,-2.570831753,0.01,0.256134303
SV2C,2.842456166,-0.768809084,0.009,0.246817043
NR2E3,2.836826131,-2.330925427,0.009,0.253219777
PLA2G10,2.80232567,-2.360302554,0.007,0.238464627
LOC101927770,2.800889196,-1.895498758,0.008,0.241290484
ENO4,2.793568173,-2.346191361,0.006,0.225551985
SBK2,2.786165693,-0.442299726,0.003,0.2032697
A2ML1,2.783792048,-1.710966633,0.003,0.2032697
LOC101927257,2.746828151,-2.637647249,0.009,0.246817043
SPRY4-IT1,2.741552903,-2.443536098,0.01,0.253729365
DNAH8,2.731032914,-1.133886269,0.01,0.255310347
AK7,2.729835884,-1.602963915,0.003,0.2032697
ASXL3,2.720681646,-0.867380806,0.004,0.207730819
TEX38,2.720143403,-2.853824404,0.01,0.256566431
DNM1P35,2.695454445,-1.533706884,0.01,0.257566997
CCL26,2.694952023,-3.148030088,0.006,0.220290323
PPP3R2,2.688664131,-1.91032611,0.005,0.211214733
CTSLP2,2.67198377,-1.933779629,0.003,0.2032697
ACBD7,2.613917358,-1.60745933,0.009,0.244562119
SOX2-OT,2.610840815,-1.806589424,0.006,0.226755812
STC1,2.593776585,1.599043029,0.002,0.194545554
LOC284865,2.576391273,-2.136427037,0.005,0.220109417
